number,value,datetime_start,datetime_complete,duration,params_colsample,params_lr,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,state
50,0.8572562206670733,2026-07-06 07:31:56.880437,2026-07-06 07:32:04.188571,0 days 00:00:07.308134,0.5834701352455235,0.018694267372543292,5,5.453014759200402,700,1.1881725632459132,0.6263284275209341,COMPLETE
51,0.8596107165874608,2026-07-06 07:32:04.188628,2026-07-06 07:32:11.745785,0 days 00:00:07.557157,0.6009097649153518,0.01908163622577057,5,4.83597041965276,700,1.1508483956975033,0.6300725455216805,COMPLETE
52,0.8520829536527209,2026-07-06 07:32:11.745827,2026-07-06 07:32:20.005100,0 days 00:00:08.259273,0.5784207325310577,0.018890622299924633,5,4.801259617497029,800,1.1267204044952588,0.6286009108917946,COMPLETE
53,0.8525471305897663,2026-07-06 07:32:20.005142,2026-07-06 07:32:27.249015,0 days 00:00:07.243873,0.600762304981908,0.02174825010359463,6,5.436956156185979,700,1.2350973743222295,0.6645906936513093,COMPLETE
54,0.8502134658336209,2026-07-06 07:32:27.249057,2026-07-06 07:32:35.111615,0 days 00:00:07.862558,0.6494061825660921,0.025772099437519607,5,4.042911205522749,700,0.9068536553767119,0.7129241541849396,COMPLETE
55,0.8555123278960487,2026-07-06 07:32:35.111659,2026-07-06 07:32:41.287619,0 days 00:00:06.175960,0.6705721484317275,0.09160929066044907,6,4.2613116972066996,700,1.4351463007856098,0.6314341485184876,COMPLETE
56,0.8512504671613199,2026-07-06 07:32:41.287660,2026-07-06 07:32:48.735129,0 days 00:00:07.447469,0.5752919312149316,0.020281850606941085,4,4.8216032505123545,700,1.0579530587318626,0.6840251673601111,COMPLETE
57,0.8508754022319914,2026-07-06 07:32:48.735176,2026-07-06 07:32:56.249615,0 days 00:00:07.514439,0.6075909680456107,0.015093292586945873,5,7.952228518376939,800,3.9682802141500773,0.6540665532310204,COMPLETE
58,0.846016830571094,2026-07-06 07:32:56.249658,2026-07-06 07:33:02.093604,0 days 00:00:05.843946,0.6225960769428006,0.03688168896004161,4,5.797018131433235,600,1.7998164103018255,0.601379407278803,COMPLETE
59,0.8515304498831631,2026-07-06 07:33:02.093656,2026-07-06 07:33:08.720949,0 days 00:00:06.627293,0.5435102331227187,0.03235237448885025,5,6.494259789117975,700,2.5492917556151427,0.6700257602460286,COMPLETE
